datetime,open,high,low,close
2018-01-19T16:00:00,1333.11,1334.3,1332.99,1334
2018-01-19T17:00:00,1334,1334.68,1333.53,1333.8
2018-01-19T18:00:00,1333.8,1334.56,1332.73,1334.56
2018-01-19T19:00:00,1334.56,1335.21,1333.61,1334.33
2018-01-19T20:00:00,1334.33,1334.5,1332.05,1332.05
2018-01-19T21:00:00,1332.05,1332.52,1330.54,1331.67
2018-01-21T23:00:00,1331.67,1335.61,1331.67,1334.67
2018-01-22T00:00:00,1334.67,1334.85,1333.03,1333.45
2018-01-22T01:00:00,1333.45,1334.17,1330.91,1331.21
2018-01-22T02:00:00,1331.21,1332.55,1330.27,1331.64
2018-01-22T03:00:00,1331.64,1331.71,1330.76,1331.17
2018-01-22T04:00:00,1331.17,1331.5,1330.44,1331.46
2018-01-22T05:00:00,1331.46,1332.02,1330.61,1331.64
2018-01-22T06:00:00,1331.64,1331.97,1328.64,1328.8
2018-01-22T07:00:00,1328.8,1331.44,1328.3,1331.24
2018-01-22T08:00:00,1331.24,1332.47,1329.97,1332.13
2018-01-22T09:00:00,1332.13,1333.42,1331.73,1332.44
2018-01-22T10:00:00,1332.44,1334.47,1332.18,1333.51
2018-01-22T11:00:00,1333.51,1333.91,1332.25,1332.55
2018-01-22T12:00:00,1332.55,1333.12,1331,1332.08
2018-01-22T13:00:00,1332.08,1334.25,1330.74,1333.85
2018-01-22T14:00:00,1333.85,1334.44,1331.54,1331.77
2018-01-22T15:00:00,1331.77,1335.47,1331.75,1334.55
2018-01-22T16:00:00,1334.55,1334.71,1331.58,1331.74
2018-01-22T17:00:00,1331.74,1332.52,1330.62,1331.95
2018-01-22T18:00:00,1331.95,1332.69,1331.57,1331.94
2018-01-22T19:00:00,1331.94,1333.4,1331.02,1332.88
2018-01-22T20:00:00,1332.88,1334.73,1332.5,1334.48
2018-01-22T21:00:00,1334.48,1334.76,1333.63,1333.8
2018-01-22T23:00:00,1333.8,1333.83,1332.48,1333.08
2018-01-23T00:00:00,1333.08,1334.96,1332.99,1334.12
